quantum,classical,hybrid,equal_weight,minimum_variance
3.333333333333333148e-01,3.729138352675361312e-01,3.333333333333333148e-01,1.000000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,9.887110558057621290e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
3.333333333333333148e-01,2.679574723298324551e-02,3.333333333333333148e-01,1.000000000000000056e-01,4.310097571637298841e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,5.061952976338189858e-01
3.333333333333333148e-01,1.825203778775405516e-01,3.333333333333333148e-01,1.000000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.250882511284548498e-02,0.000000000000000000e+00,1.000000000000000056e-01,3.804936574418221057e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,1.046599937815841930e-01
0.000000000000000000e+00,1.169069768905438844e-01,0.000000000000000000e+00,1.000000000000000056e-01,4.357576132412074171e-02
0.000000000000000000e+00,2.483542376185507716e-01,0.000000000000000000e+00,1.000000000000000056e-01,1.655475002193447509e-01
